"","iso3c","country","system","crop_cpi","crop_tonnes","fofm","fofm_cpi","fofm_tonnes","feed_tonnes","feed_cpi","cpi_per_tonne"
"1","ABW","Aruba","feed_land_chickens_industrial_meat",0,0,"fofm",0.0000000122841612239699,1.31016983168284,1.31016983168284,0.0000000122841612239699,0.00000000937600677935903
"2","AFG","Afghanistan","feed_land_chickens_industrial_meat",0.000194689063231752,11965.1078915319,"fofm",0,0,11965.1078915319,0.000194689063231752,0.0000000162714005587479
"3","AGO","Angola","feed_land_chickens_industrial_meat",0.000821574502791715,480929.661228411,"fofm",0.00000770916520498153,899.036570411351,481828.697798823,0.000829283667996696,0.00000000172111721818393
"4","AIA","Anguilla","feed_land_chickens_industrial_meat",0,0,"fofm",0.00000000395116621442377,0.333211502040829,0.333211502040829,0.00000000395116621442377,0.0000000118578326084903
"5","ALA","Åland","feed_land_chickens_industrial_meat",0.0000000357549404605479,14.3704333573473,"fofm",0.0000000896270939453701,10.747470753915,25.1179041112623,0.000000125382034405918,0.00000000499173951180503
"6","ALB","Albania","feed_land_chickens_industrial_meat",0.000137403915605099,43367.2293193366,"fofm",0.0000000692426936394734,4.8896483800127,43372.1189677166,0.000137473158298738,0.00000000316962052052528
"7","ARE","United Arab Emirates","feed_land_chickens_industrial_meat",0.0000145516234644712,27142.6919316233,"fofm",0.0000107355538144045,872.167243616643,28014.8591752399,0.0000252871772788757,0.000000000902634459830695
"8","ARG","Argentina","feed_land_chickens_industrial_meat",0.0270365653836968,31690199.7476785,"fofm",0.0000338854710618966,1899.75241542227,31692099.5000939,0.0270704508547587,0.000000000854170322628152
"9","ARM","Armenia","feed_land_chickens_industrial_meat",0.0000139395405126547,6715.54653580361,"fofm",0,0,6715.54653580361,0.0000139395405126547,0.00000000207571199727926
"10","ASM","American Samoa","feed_land_chickens_industrial_meat",0,0,"fofm",0.0000000961067400551658,5.16252664373142,5.16252664373142,0.0000000961067400551658,0.0000000186162216076624
"11","ATG","Antigua and Barbuda","feed_land_chickens_industrial_meat",0.0000000191504745696095,5.06429259947504,"fofm",0.00000000393001565324408,0.353923021195499,5.41821562067054,0.0000000230804902228536,0.00000000425979544534945
"12","AUS","Australia","feed_land_chickens_industrial_meat",0.013012003944798,6327045.71846307,"fofm",0.0000126464978504444,760.264050660782,6327805.98251373,0.0130246504426484,0.00000000205832013159708
"13","AUT","Austria","feed_land_chickens_industrial_meat",0.000599552660538132,441047.614460741,"fofm",0,0,441047.614460741,0.000599552660538132,0.00000000135938307085323
"14","AZE","Azerbaijan","feed_land_chickens_industrial_meat",0.000857445401223521,214840.282351811,"fofm",0,0,214840.282351811,0.000857445401223521,0.00000000399108301216722
"15","BDI","Burundi","feed_land_chickens_industrial_meat",0.0000371610841858539,11946.7601626723,"fofm",0,0,11946.7601626723,0.0000371610841858539,0.00000000311055748000732
"16","BEL","Belgium","feed_land_chickens_industrial_meat",0.000813434458138086,355153.838923239,"fofm",0.0000026006548767366,54.4338836230035,355208.272806862,0.000816035113014823,0.0000000022973426451093
"17","BEN","Benin","feed_land_chickens_industrial_meat",0.000148613820031874,102487.170499489,"fofm",0.000000209392697341972,20.0990564198904,102507.269555909,0.000148823212729215,0.00000000145183081525789
"18","BES","Bonaire, Sint Eustatius and Saba","feed_land_chickens_industrial_meat",0,0,"fofm",0.0000000218803719197057,1.69427095012923,1.69427095012923,0.0000000218803719197057,0.0000000129143286780882
"19","BFA","Burkina Faso","feed_land_chickens_industrial_meat",0.000780125618038711,209840.008032256,"fofm",0,0,209840.008032256,0.000780125618038711,0.00000000371771629897571
"20","BGD","Bangladesh","feed_land_chickens_industrial_meat",0.000255346515359612,272921.869135326,"fofm",0.0000041381390128693,399.383469691899,273321.252605018,0.000259484654372482,0.000000000949376061683237
"21","BGR","Bulgaria","feed_land_chickens_industrial_meat",0.000731923133249722,592152.368748197,"fofm",0.00000145020765178781,47.8912678853879,592200.260016082,0.00073337334090151,0.00000000123838740104841
"22","BHR","Bahrain","feed_land_chickens_industrial_meat",0,0,"fofm",0.00000136405226593613,112.702560641965,112.702560641965,0.00000136405226593613,0.0000000121031168960701
"23","BHS","Bahamas","feed_land_chickens_industrial_meat",0.000000573216128456825,778.349489658781,"fofm",0.000000209980535949932,19.1248342610133,797.474323919794,0.000000783196664406757,0.000000000982096402247964
"24","BIH","Bosnia and Herzegovina","feed_land_chickens_industrial_meat",0.000249627060532802,175288.691827318,"fofm",0.0000000191234117774526,1.96013292017966,175290.651960238,0.00024964618394458,0.00000000142418424001987
